Date,InterestRate,CROBEX,ERSTEAdriaticEquity,OTPMeridian20,ZBAktiv,RaiffeisenDMF,ERSTEPlaviEXPERT,ERSTEPlaviPROTECT
04-Jan-2010,2.19,2023.36,91.17,87.413,97.86,144.3185,123.8177,121.5073
05-Jan-2010,2.19,2050.69,92.38,88.6813,98.46,144.7948,124.2854,121.6526
06-Jan-2010,2.19,2050.69,92.38,88.6813,98.43,144.7976,124.2584,121.6044
07-Jan-2010,2.19,2059.9,92.96,88.8218,98.43,144.7815,124.7164,121.6478
08-Jan-2010,2.19,2074.79,93.18,88.9061,98.16,144.9854,125.1213,121.7905
09-Jan-2010,2.19,2074.79,93.18,88.9061,98.74,144.941,125.0927,121.7453
10-Jan-2010,2.19,2074.79,93.18,88.9061,98.74,144.9513,125.0989,121.7586
11-Jan-2010,2.19,2112.17,94.48,90.0445,98.74,145.441,125.6649,121.7955
12-Jan-2010,2.19,2104.47,94.83,90.1536,97.29,145.2022,125.6527,121.6222
13-Jan-2010,2.19,2128.94,95.2,90.4846,97.71,145.2601,126.0117,121.7401
14-Jan-2010,2.19,2131.25,96.42,91.2585,97.86,145.6045,126.1815,121.687
15-Jan-2010,2.19,2158.21,96.66,91.3796,97.76,145.9646,126.4846,121.8453
16-Jan-2010,2.19,2158.21,96.66,91.3796,97.95,146.0427,126.5453,121.8643
17-Jan-2010,2.19,2158.21,96.66,91.3796,97.95,146.0528,126.5514,121.8775
18-Jan-2010,2.19,2157.94,97.05,91.7467,97.95,146.366,127.1343,121.9013
19-Jan-2010,2.19,2155.22,96.97,91.7581,98.24,146.7143,127.7663,121.8999
20-Jan-2010,2.19,2168.69,96.91,91.2341,97.48,146.8021,127.6802,121.9732
21-Jan-2010,2.19,2171.53,96.87,90.5086,96.25,146.6985,127.806,121.9827
22-Jan-2010,2.19,2155.53,95.86,89.7611,96.01,146.3575,127.3977,122.0503
23-Jan-2010,2.19,2155.53,95.86,89.7611,95.37,146.2477,127.3175,121.9995
24-Jan-2010,2.19,2155.53,95.86,89.7611,95.37,146.2571,127.3229,122.0116
25-Jan-2010,2.19,2140.82,95.31,89.2825,95.37,146.241,126.9628,122.0266
26-Jan-2010,2.19,2170.7,95.3,88.9976,95.31,146.4497,126.4427,122.1201
27-Jan-2010,2.19,2198.73,96.17,89.0989,95.3,146.6404,126.9441,122.0946
28-Jan-2010,2.19,2196.41,96.81,89.329,95.75,146.7683,127.2085,122.2389
29-Jan-2010,2.19,2203.4,96.31,89.1587,95.39,146.6803,127.2945,122.3516
30-Jan-2010,2.19,2203.4,96.31,89.1587,96.52,146.763,127.3712,122.4165
31-Jan-2010,2.19,2203.4,96.31,89.1587,96.52,146.7705,127.3756,122.4276
01-Feb-2010,2.19,2194.75,96.5,89.6061,96.52,147.0993,127.7625,122.4516
02-Feb-2010,2.19,2193.14,96.66,90.0792,96.97,147.1083,127.9647,122.447
03-Feb-2010,2.19,2212.18,96.62,90.2295,96.62,147.5795,128.3056,122.4351
04-Feb-2010,2.19,2178.55,95.95,88.8505,94.82,147.1187,127.3582,122.4478
05-Feb-2010,2.19,2150.32,94.27,86.9555,94.62,146.4126,126.6659,122.4501
06-Feb-2010,2.19,2150.32,94.27,86.9555,94.88,146.5466,126.8239,122.5227
07-Feb-2010,2.19,2150.32,94.27,86.9555,94.88,146.5559,126.829,122.5344
08-Feb-2010,2.19,2147.32,94.41,86.9734,94.88,146.4659,126.6766,122.5366
